Key,Description,MSRP,Wholesale,Cost
CS30-RPK3E-P,"30x12"" Custom Sand Burner with installed RPK3E Remote Ready Safety Pilot ""EASY"" Control - Requir...",615.00,307.50,316.73
CS32X12X16-SR-N,"32"" wide (front) x 12"" wide (rear) x 16"" deep Angular Custom Sand Burner,with Round Legs; Stainl...",853.00,426.50,439.30
CS32x13-B-N,"32"" x 13"" Custom Sand Burner; Strap Legs. Black Painted Steel. Includes sand pan filler, embers,...",512.00,256.00,263.68
CS33.5X12.5X13-B-N,"33.5"" wide (front) x 12.5"" wide (rear) x 13"" deep Angular Custom Sand Burner. Gas inlet on left....",532.00,266.00,273.98
CS33X16X19-B-N,"33"" wide (front) x 16"" wide (rear) x 19"" deep Angular Custom Sand Burner. Gas inlet on right. Bl...",746.00,373.00,384.19
CS33X22,"33x22"" Custom Sand Burner, Natural Gas - Special Order - please allow two weeks to manufacture",659.00,329.50,339.39
CS34X20,"34x20"" Custom Sand Burner, Natural Gas - Special Order - please allow two weeks to manufacture",664.00,332.00,341.96
CS36-RMC1E-N,"36"" x 16"" Custom Sand Burner with installed RMC1E Variable Flame Height Remote Safety Pilot ""EAS...",1014.00,507.00,522.21
CS36-RMC1E-P,"36"" x 16"" Custom Sand Burner with installed RMC1E Variable Flame Height Remote Safety Pilot ""EAS...",1014.00,507.00,522.21
CS36X12-LIP-SS-N,"Custom Pan Burner, Stainless Steel, No legs (with holes for water draining). 36"" wide x 12"" deep...",1177.00,588.50,606.16
CS36x16-SR-REAR-N,"Custom Pan Burner for 36"" sets; Stainless Steel with Tubular Legs. Rear Gas Inlet Match Lighted/...",1038.00,519.00,534.57
CS36X20-B-NL-N,"36"" wide x 20"" deep Custom Pan Burner. Black Painted Steel with Strap Legs. Match Lighted/Contro...",824.00,412.00,424.36
CS36X24-BR-N,"36"" x 24"" Custom Pan Burner.  Black Painted Steel with Round Legs (6).  Natural Gas.  Includes s...",907.00,453.50,467.11
CS36X24-SR-N,"36x24"" Custom Sand Burner.  Stainless Steel with Round Legs.  Natural Gas. Includes sand pan fil...",1859.00,929.50,957.39
CS36X28-BR-N,"36"" x 28"" Custom Pan Burner.  Black Painted Steel with Round Legs (6).  Natural Gas.  Includes s...",1059.00,529.50,545.39
CS38x13-B-NL-N,"38"" x 13"" Custom Sand Burner; No Legs. Black Painted Steel. Includes sand pan filler, embers, co...",509.00,254.50,262.14
CS38X24XREAR-N,"38"" wide x 24"" deep Custom Sand Pan Burner, Rear Gas Inlet.  Black Painted Steel with Strap Legs...",803.00,401.50,413.55
CS40X24-BR-N,"40"" x 24"" Custom Pan Burner.  Black Painted Steel with Round Legs (6).  Natural Gas.  Includes s...",1012.00,506.00,521.18
CS40X9-SS-NL-OS-N,"40"" x 9"" Custom Sand Burner; No Legs. Stainless Steel. Includes Volcanic Ash pan filler, embers,...",728.00,364.00,374.92
CS42X24,"42x24"" Custom Sand Burner, NG - Special Order - please allow two weeks to manufacture",760.00,380.00,391.40
CS42X30,"42x30"" Custom Sand Burner, NG - Special Order - please allow two weeks to manufacture",1017.00,508.50,523.76
CS43X27X16,"43"" front width x 27"" rear width X 16"" deep tapered Custom Sand Burner, Natural Gas - Special Or...",760.00,380.00,391.40
CS45X22-N,"45"" wide x22"" deep Custom Sand Burner.  Black Painted Steel with Strap Legs.  Natural Gas.  Incl...",843.00,421.50,434.15
CS45X22-SS-N,"45"" wide x22"" deep Custom Sand Burner.  Stainless Steel with Strap Legs.  Natural Gas.  Includes...",1923.00,961.50,990.35
CS47x11-B-N,"47"" x 11"" Custom Sand Burner; Strap Legs. Black Painted. Includes sand pan filler, embers, conne...",596.00,298.00,306.94
CS47x11-B-NL-N,"47"" x 11"" Custom Sand Burner; No Legs. Black Painted. Includes sand pan filler, embers, connecto...",562.00,281.00,289.43
CS48X18,"48""x18"" Custom Sand Burner, NG - Special Order - please allow two weeks to manufacture",600.00,300.00,309.00
CS50X12-SR-N,"50"" wide x12"" deep Custom Sand Burner.  Stainless Steel with Round Legs.  Natural Gas.  Includes...",1213.00,606.50,624.70
CS50X16XBCF-B-N,"50"" wide x 16"" deep, x 2"" high Custom Sand Burner with gas inlet in the bottom of the pan, locat...",1081.00,540.50,556.72
CS50X16XBCF-S-N,"50"" wide x 16"" deep, x 2"" high Custom Sand Burner with gas inlet in the bottom of the pan, locat...",1787.00,893.50,920.31
CS51X14,"51x14"" Custom Sand Burner, Natural Gas - Special Order - please allow two weeks to manufacture",669.00,334.50,344.54
CS51X26,"51x26"" Custom Sand Burner, Natural Gas - Special Order - please allow two weeks to manufacture",1054.00,527.00,542.81
CS52x11-B-N,"52"" x 11"" Custom Sand Burner; Strap Legs. Black Painted. Includes sand pan filler, embers, conne...",652.00,326.00,335.78
CS52x11-B-NL-N,"52"" x 11"" Custom Sand Burner; No Legs. Black Painted. Includes sand pan filler, embers, connecto...",619.00,309.50,318.79
CS54X8-B-P,"54"" wide x 8 "" deep Custom Pan Burner; Black Painted Steel with Strap Legs.  Match Lighted/Contr...",691.00,345.50,355.87
CS60-B-REAR-N,"60"" wide x 16"" deep Custom Sand Pan Burner, Rear Gas Inlet.  Black Painted Steel with Strap Legs...",803.00,401.50,413.55
CS60X12-B-N,"Custom Pan Burner for 60"" sets; Black Painted Steel with Strap Legs.  Match Lighted/Control Read...",723.00,361.50,372.35
CS60X12-SR-N,"Custom Pan Burner for 60"" sets; Stainless Steel with Round Tubular Legs.  Match Lighted/Control ...",1686.00,843.00,868.29
CS60X28-B-N,"60"" w x 28"" d Custom Sand Burner, Natural Gas.  Pan only.  No Legs. Black painted mild steel.  S...",1271.00,635.50,654.57
CS60X28-SS-N,"60"" w x 28"" d Custom Sand Burner, Natural Gas.  Pan only.  No Legs. Stainless Steel.  Single inl...",2857.00,1428.50,1471.36
CS60X8-B-P,"60"" wide x 8 "" deep Custom Pan Burner; Black Painted Steel with Strap Legs.  Match Lighted/Contr...",723.00,361.50,372.35
CS68X10-NL-N,"68"" wide x 10"" deep Custom Sand Burner.  Stainless Steel.  Single burner tube, no baffle plate. ...",1177.00,588.50,606.16
CS72X2,"72"" wide x 16"" deep Custom Sand Burner with gas inlet on both ends, Natural Gas",969.00,484.50,499.04
CS80X16-B-N,"*SPECIAL ORDER* - 80"" wide x 16"" deep Custom Sand Burner; Black painted steel; sand pan filler. ...",1174.00,587.00,604.61
CS84X12-B-N,"*SPECIAL ORDER* - 84"" wide x 12"" deep Custom Sand Burner; Black painted steel; sand pan filler. ...",1003.00,501.50,516.55
CS84X16-B-N,"*SPECIAL ORDER* - 84"" wide x 16"" deep Custom Sand Burner; Black painted steel; sand pan filler. ...",1174.00,587.00,604.61
CS84X18,"NET PRICE - 84"" x 18"" Custom Sand Burner, Nat. Gas.  3/4"" inlet with 1"" x 1.25"" rectangular burn...",1097.00,548.50,564.96
CS96X18,"NET PRICE - 96"" x 18"" Custom Sand Burner, Nat. Gas.  3/4"" inlet with 1"" x 1.25"" rectangular burn...",1335.00,667.50,687.53
CSQ10-B-N,"10.375"" x 10.375"" Square Custom Sand Burner; Black painted steel.  Natural Gas",267.00,133.50,137.51
CSQ12-B-N,"12"" x 12"" Square Custom Sand Burner; Black painted steel. Natural Gas",338.00,169.00,174.07
CSQ12-B-P,"12"" x 12"" Square Custom Air Burner, Black Painted Steel, Propane (#54; 25,000 BTU/hr)",338.00,169.00,174.07
CSQ12-SS-P,"12"" x 12"" Square Custom Air Burner, Stainless Steel with Strap Legs,  Propane (#54; 25,000 BTU/hr)",928.00,464.00,477.92
CSQ16-B-N,"16 3/8"" x 16 3/8"" Square Custom Sand Burner; Black painted steel.  Natural Gas",370.00,185.00,190.55
CSQ17-SR-N,"17"" x 17"" Square Custom Pan Burner, Stainless Steel with Round Legs, Match Lighted/Control Ready...",653.00,326.50,336.30
CSQ18-B-N,"18"" x 18"" Square Custom Sand Burner; Black painted steel.  Natural Gas",414.00,207.00,213.21
CSQ18-B-P-BF,"18"" x 18"" Square Custom Pan Burner, Propane; Black painted steel with bottom (middle) inlet.  Sp...",477.00,238.50,245.66
CSQ20-B-N,"20"" x 20"" Square Custom Air Burner; Black painted steel with Strap Legs. Match Lighted/Control R...",471.00,235.50,242.57
CSQ20-B-P,"19.5 x19.5"" Square Custom Air Burner; Black painted steel.  Propane",471.00,235.50,242.57
CSQ22-B-N,"22.5 x22.5"" Square Custom Sand Burner; Black painted steel. Natural Gas",406.00,203.00,209.09
CSQ24-B-N,"24 x 24"" Square Custom Sand Burner; Black painted steel. Natural Gas, 2 ctns.",438.00,219.00,225.57
CSQ24-B-P,"24"" x 24"" Square Custom Air Burner.  Black Painted Steel with Strap Legs.  Propane.  Includes vo...",438.00,219.00,225.57
CSQ24-SR-N,"24"" Square Custom Pan Burner;  24"" wide x 24"" pan. Stainless Steel with Tubular Legs.  Match Lig...",1090.00,545.00,561.35
CSQ24-SR-N-OS,"24"" Square Custom Pan Burner;  24"" wide x 24"" pan. Stainless Steel with Tubular Legs.  Match Lig...",990.00,495.00,509.85
CSQ24-SR-P,"24x24"" Square Custom Air Burner, Stainless Steel with Round Legs, Propane",990.00,495.00,509.85
CSQ26-B-N,"26"" x 26"" Square Custom Sand Burner; Black painted steel. Natural gas, 2 ctns.",659.00,329.50,339.39
CSQ30-B-N,"30""x30"" Square Custom Sand Burner; Black painted steel. Natural Gas",879.00,439.50,452.69
CSQ30-SR-N,"Square Custom Pan Burner, Stainless Steel with Round Legs; 30""x30"".  Natural Gas.  Includes sand...",2344.00,1172.00,1207.16
CSQ36-B-N,"36""x36"" Square Custom Sand Burner; Black painted steel. Natural Gas",1197.00,598.50,616.46
CUSTOM,Custom Log Set,0.00,0.00,0.00
CXF42-S-P,"Custom Embers Pan Burner Kit, Stainless Steel. Propane; 45"" front width x 39"" rear width x 16"" d...",1562.00,781.00,804.43
CXF48-B-N,"**SPECIAL ORDER - Please allow two weeks to make** Custom Embers Pan Burner Kit, Natural Gas; 51...",846.00,423.00,435.69
CXF48-S-P,"Custom Embers Pan Burner Kit, Stainless Steel. Propane; 51"" front width x 45"" rear width x 16"" d...",1799.00,899.50,926.49
CXF51-B-N,*SPECIAL ORDER - Please allow two weeks to make** Custom Embers Pan Burner; Black Painted Steel....,835.00,417.50,430.03
CXF57-B-N,*SPECIAL ORDER - Please allow two weeks to make** Custom Embers Pan Burner; Black Painted Steel....,996.00,498.00,512.94
CXF60-B-N,"**SPECIAL ORDER - Please allow two weeks to make** Custom Embers Pan Burner kit for 60"" sets; Bl...",1044.00,522.00,537.66
CXF60-B-P,"**SPECIAL ORDER - Please allow two weeks to make** Custom Embers Pan Burner kit for 60"" sets; Bl...",1044.00,522.00,537.66
DF-CXF44X22,"Double Face Custom Embers Pan Burner Kit, Natural Gas; 44"" wide x 22"" deep, with 1"" x 1.25"" rect...",947.00,473.50,487.71
DF-B20FXH-RPK-NG,"20"" Double Face FX Burner/Grate with millivolt control - Nat. Gas",664.00,332.00,341.96
DF-B24FH-RPK-NG,"24"" Double Face F Burner/Grate with RPK1millivolt control - Assembled - Natural Gas",723.00,361.50,372.35
DF-B30FXH-RPK-NG,"30"" Double Face FX Burner & Grate with RPK1 millivolt control - Nat. Gas (assembled)",922.00,461.00,474.83
DF-F15-N,"12,15"" DF-F burner kit only, Natural Gas      (1-3D)",247.00,123.50,127.21
DF-F15-P,"12,15"" DF-F burner kit only, Propane      (1-3D)",247.00,123.50,127.21
DF-F18-N,"18"" DF-F burner kit only, Natural Gas     (1-3D)",257.00,128.50,132.36
DF-F18-P,"18"" DF-F burner kit only, Propane     (1-3D)",257.00,128.50,132.36
DF-F20-N,"20,21"" DF-F burner kit only, Natural Gas     (1-3D)",263.00,131.50,135.45
DF-F20-P,"20,21"" DF-F burner kit only, Propane     (1-3D)",263.00,131.50,135.45
DF-F24-N,"24"" DF-F burner kit only, Natural Gas     (1-3D)",268.00,134.00,138.02
DF-F24-P,"24"" DF-F burner kit only, Propane     (1-3D)",268.00,134.00,138.02
DF-F30-N,"27,30"" DF-F burner kit only, Natural Gas     (1-3D)",316.00,158.00,162.74
DF-F30-P,"30"" DF-F burner kit only, Propane     (1-3D)",316.00,158.00,162.74
DF-FX15-N,"12,15"" DF-FX burner kit only, Natural Gas     (1-3D)",380.00,190.00,195.70
DF-FX15-P,"12,15"" DF-FX burner kit only, Propane     (1-3D)",380.00,190.00,195.70
DF-FX18-N,"18"" DF-FX burner kit only, Natural Gas     (1-3D)",391.00,195.50,201.37
DF-FX18-P,"18"" DF-FX burner kit  only, Propane     (1-3D)",391.00,195.50,201.37
DF-FX20-N,"20"" DF-FX burner kit only, Natural Gas     (1-3D)",402.00,201.00,207.03
DF-FX20-P,"20,21"" DF-FX burner kit only, Propane     (1-3D)",402.00,201.00,207.03
DF-FX24-N,"24"" DF-FX burner kit only, Natural Gas     (1-3D)",418.00,209.00,215.27
DF-FX24-P,"24"" DF-FX burner kit only, Propane     (1-3D)",418.00,209.00,215.27
DF-FX30-N,"30"" DF-FX burner kit only, Natural Gas     (1-3D)",498.00,249.00,256.47
DF-FX30-P,"27,30"" DF-FX burner kit only, Propane     (1-3D)",498.00,249.00,256.47
DF-FX36-N,"33,36"" DF-FX burner kit only, Natural Gas     (1-3D)",610.00,305.00,314.15
DF-FX36-P,"33,36"" DF-FX burner kit only, Propane     (1-3D)",610.00,305.00,314.15
DF-FX42-N,"42"" DF-FX burner kit only, Natural Gas     (1-3D)",739.00,369.50,380.59
DF-FX42-P,"42"" DF-FX burner kit only, Propane     (1-3D)",739.00,369.50,380.59
DF-FX48-N,"48,54,60"" DF-FX burner kit only, Natural Gas     (1-3D)",798.00,399.00,410.97
DF-FX48-P,"48,54,60"" DF-FX burner kit only, Propane     (1-3D)",798.00,399.00,410.97
DFC18,"18"" DF CB Logs - 3 split, 5 oak     (1-3D)",284.00,142.00,146.26
DFC24,"24"" DF CB Logs - 3 split, 5 oak     (1-3D)",321.00,160.50,165.32
DFC30,"30"" DF CB Logs - 3 split, 5 oak     (1-3D)",375.00,187.50,193.13
DFC1-S-N,"Double Face Chillbuster Single Burner Hearth Kit; 40,000 BTU/hr; Remote Ready Millivolt Control ...",466.00,233.00,239.99
DFK18,"18"" DF Oak logs for DFC1, 8 logs",236.00,118.00,121.54
DFK24,"24"" DF Oak logs for DFC1, 8 logs",268.00,134.00,138.02
DFK30,"30"" DF Oak logs for DFC1",311.00,155.50,160.17
RH2,Ceramic Log House to protect remote control receivers      (1D),49.00,24.50,25.24
RH3-BE,"BEIGE COLOR - Smooth-sided Ceramic House (for Shapes, Balls and Stones) to protect remote contro...",49.00,24.50,25.24
RH3-BL,"BLACK COLOR - Smooth-sided Ceramic House (for Shapes, Balls and Stones) to protect remote contro...",49.00,24.50,25.24
RH3-BR,"BROWN COLOR - Smooth-sided Ceramic House (for Shapes, Balls and Stones) to protect remote contro...",49.00,24.50,25.24
RH3-DG,"DARK GRAY COLOR - Smooth-sided Ceramic House (for Shapes, Balls and Stones) to protect remote co...",49.00,24.50,25.24
RH3-LG,"LIGHT GRAY COLOR - Smooth-sided Ceramic House (for Shapes, Balls and Stones) to protect remote c...",49.00,24.50,25.24
RH3-NA,"NATURAL COLOR - Smooth-sided Ceramic House (for Shapes, Balls and Stones) to protect remote cont...",49.00,24.50,25.24
RH3-RD,"ADOBE RED COLOR - Smooth-sided Ceramic House (for Shapes, Balls and Stones) to protect remote co...",49.00,24.50,25.24
RH3-XX,"SPECIFY COLOR - Smooth-sided Ceramic House (for Shapes, Balls and Stones) to protect remote cont...",49.00,24.50,25.24
SR-MV1,"RF Wireless Hand-held ON/OFF Remote control (Transmitter, Receiver and batteries) for Millivolt ...",182.00,91.00,93.73
THR-MV1,RF Wireless Hand-held ON/OFF/Thermostat/Count-down Timer/Non-Programmable Remote Control (Transm...,257.00,128.50,132.36
Valve Plug-EASY,See STPLUG1,198.00,99.00,101.97
WS-MV1,"RF Wireless Wall Switch ON/OFF Transmitter/Receiver (batteries included), with Rasmussen Logo.  ...",198.00,99.00,101.97
WT-MV1,"RF Wireless Wall Timer, ON/OFF Remote control (Transmitter, Receiver and batteries) for Millivol...",198.00,99.00,101.97
1751-718,"Wiring harness (6-wire) for use with EIS-N200, EIS-P200, EIS-N350 and EIS-P350 kits",113.00,56.50,58.20
1751-718A,Wiring harness (6-wire) for use with EIS-N135 kits,113.00,56.50,58.20
1751-729,"Igniter Sensor w/24"" leads for EIS-RS150 kit",91.00,45.50,46.87
1751-749,"Igniter Sensor w/72"" leads for EIS-RL150, EIS-N135, EIS-N200 and EIS-P200 kits",110.00,55.00,56.65
1830-010,Pilot (3CH-6) for EIS kits,47.00,23.50,24.21
620-405,Transformer 120/24 VAC for EIS,50.00,25.00,25.75
700-056,"7000 BDER-S7A Intermittent pilot ignition valve, used in EIS-350, Natural gas",792.00,396.00,407.88
700-059,"Intermittent pilot ignition valve, used in EIS-N720, Natural gas",820.00,410.00,422.30
712-006,"Heating Kit Ignition Kit for EIS-P350, includes valve, control module and wiring harness.",941.00,470.50,484.62
712-008,Heating Kit Ignition Kit for EIS-P200 (net price),648.00,324.00,333.72
712-016,"Heating Kit Ignition Kit for EIS-N350, includes valve, control module and wiring harness.",941.00,470.50,484.62
712-017,Heating Kit Ignition Kit for EIS-N200 (net price),654.00,327.00,336.81
712-019,"Heating Kit Ignition Kit for EIS-N720, includes valve, control module and wiring harness. Natura...",1176.00,588.00,605.64
712-022,Heating Kit Ignition Kit for EIS-N135 (net price),589.00,294.50,303.34
722-070,"7200IPER-S7C Intermittent pilot ignition valve, used in EIS-N200, Natural gas",537.00,268.50,276.56
722-070-P,"7200IPER-S7C Intermittent pilot ignition valve, used in EIS-P200, Propane",537.00,268.50,276.56
722-079,"2000IPERHC Intermittent pilot ignition valve, used in EIS-N135, Natural gas",499.00,249.50,256.99
780-715,"SP715U Nonlockout Ignition Control Unit, used in EIS-N135 and EIS-N200, For Natural Gas only",401.00,200.50,206.52
780-845,"Lockout Ignition Control Unit, used in EIS-P200, For Propane use",470.00,235.00,242.05
Ground Wire,Wire for EIS Ground,71.00,35.50,36.57
EB15,"Ember Booster for 15"""" F burner    (1D)",59.00,29.50,30.39
EB18,"Ember Booster for 18"" F burner     (1D)",64.00,32.00,32.96
EB20,"Ember Booster for 20"""" F burner     (1D)",68.00,34.00,35.02
EB24,"Ember Booster for 24"" F burner     (1D)",70.00,35.00,36.05
EB30,"Ember Booster for 30"" F burner     (1D)",79.00,39.50,40.69
EB36,"Ember Booster for 36"""" F burner     (1D)",87.00,43.50,44.81
EB42,"Ember Booster for 42"""" F burner     (1D)",99.00,49.50,50.99
EB48,"Ember Booster for 48"""" F burner     (1D)",109.00,54.50,56.14
F15-N,"Flaming Ember Burner only kit for 12"" and 15"" sets (9.375"" pan width).   Natural Gas.  Includes ...",134.00,67.00,69.01
F15-P,"Flaming Ember Burner only kit for 12"" and 15"" sets (9.375"" pan width).  Propane.  Includes volca...",134.00,67.00,69.01
F15-SS-N,"Flaming Ember Burner only kit for 12"" and 15î sets (9.375"" pan width), Stainless Steel.  Natural...",305.00,152.50,157.08
F15-SS-P,"Flaming Ember Burner only kit for 12"" and 15î sets (9.375"" pan width), Stainless Steel.  Propane...",305.00,152.50,157.08
F:F18-N,"Flaming Ember Burner only kit for 18î sets (12.375"" pan width).   Natural Gas.  Includes sand pa...",140.00,70.00,72.10
F18-P,"Flaming Ember Burner only kit for 18"" sets (12.375"" pan width).  Propane.  Includes volcanic ash...",140.00,70.00,72.10
F18-SS-N,"Flaming Ember Burner only kit for 18î sets (12.375"" pan width), Stainless Steel.   Natural Gas. ...",316.00,158.00,162.74
F18-SS-P,"Flaming Ember Burner only kit for 18î sets (12.375"" pan width), Stainless Steel.   Propane.  Inc...",316.00,158.00,162.74
F20-N,"Flaming Ember Burner only kit for 20î and 21"" sets (14.375"" pan width).   Natural Gas.  Includes...",145.00,72.50,74.68
F20-P,"Flaming Ember Burner only kit for 20"" and 21"" sets (14.375"" pan width).  Propane.  Includes volc...",145.00,72.50,74.68
F20-SS-N,"Flaming Ember Burner only kit for 20"" and 21î sets (14.375"" pan width), Stainless Steel.   Natur...",327.00,163.50,168.41
F20-SS-P,"Flaming Ember Burner only kit for 20"" and 21î sets (14.375"" pan width), Stainless Steel.   Propa...",327.00,163.50,168.41
F24-N,"Flaming Ember Burner only kit for 24î sets (18.375"" pan width).   Natural Gas.  Includes sand pa...",150.00,75.00,77.25
F24-P,"Flaming Ember Burner only kit for 24"" sets (18.375"" pan width).  Propane.  Includes volcanic ash...",150.00,75.00,77.25
F24-SS-N,"Flaming Ember Burner only kit for 24î sets (18.375"" pan width), Stainless Steel.   Natural Gas. ...",338.00,169.00,174.07
F24-SS-P,"Flaming Ember Burner only kit for 24î sets (18.375"" pan width), Stainless Steel.   Propane.  Inc...",338.00,169.00,174.07
F30-N,"Flaming Ember Burner only kit for 27"" and 30î sets (24.375"" pan width).   Natural Gas.  Includes...",177.00,88.50,91.16
F30-P,"Flaming Ember Burner only kit for 27"" and 30"" sets (24.375"" pan width).  Propane.  Includes volc...",177.00,88.50,91.16
F30-SS-N,"Flaming Ember Burner only kit for 27"" and 30î sets (24.375"" pan width), Stainless Steel.   Natur...",402.00,201.00,207.03
F30-SS-P,"Flaming Ember Burner only kit for 27"" and 30î sets (24.375"" pan width), Stainless Steel.  Propan...",402.00,201.00,207.03
FX120T-N,"**SPECIAL ORDER - Please allow up to two weeks to make.**..Two 60"" (true) Flaming Ember XTRA (FX...",1579.00,789.50,813.19
FX15-N,"Flaming Ember XTRA Burner only kit for 12"" and 15"" sets (9.375"" pan width).   Natural Gas.  Incl...",209.00,104.50,107.64
FX15-P,"Flaming Ember XTRA Burner only kit for 12"" and 15"" sets (9.375"" pan width).  Propane.  Includes ...",209.00,104.50,107.64
FX15-SS-N,"Flaming Ember XTRA Burner only kit for 12"" and 15î sets (9.375"" pan width), Stainless Steel.   N...",471.00,235.50,242.57
FX15-SS-P,"Flaming Ember XTRA Burner only kit for 12"" and 15î sets (9.375"" pan width), Stainless Steel.  Pr...",471.00,235.50,242.57
FX18-N,"Flaming Ember XTRA Burner only kit for 18"" sets (12.375"" pan width).   Natural Gas.  Includes sa...",214.00,107.00,110.21
FX18-P,"Flaming Ember XTRA Burner only kit for 18"" sets (12.375"" pan width).  Propane.  Includes volcani...",214.00,107.00,110.21
FX18-SS-N,"Flaming Ember XTRA Burner only kit for 18î sets (12.375"" pan width), Stainless Steel.   Natural ...",482.00,241.00,248.23
FX18-SS-P,"Flaming Ember XTRA Burner only kit for 18î sets (12.375"" pan width), Stainless Steel.   Propane....",482.00,241.00,248.23
FX20-N,"Flaming Ember XTRA Burner only kit for 20"" and 21"" sets (14.375"" pan width).   Natural Gas.  Inc...",220.00,110.00,113.30
FX20-P,"Flaming Ember XTRA Burner only kit for 20"" and 21"" sets (14.375"" pan width).  Propane.  Includes...",220.00,110.00,113.30
FX20-SS-N,"Flaming Ember XTRA Burner only kit for 20"" and 21"" sets (14.375"" pan width), Stainless Steel.   ...",498.00,249.00,256.47
FX20-SS-P,"Flaming Ember XTRA Burner only kit for 20"" and 21"" sets (14.375"" pan width), Stainless Steel.   ...",498.00,249.00,256.47
FX24-N,"Flaming Ember XTRA Burner only kit for 24"" sets (18.375"" pan width).   Natural Gas.  Includes sa...",231.00,115.50,118.97
FX24-P,"Flaming Ember XTRA Burner only kit for 24"" sets (18.375"" pan width).  Propane.  Includes volcani...",231.00,115.50,118.97
FX24-SS-N,"Flaming Ember XTRA Burner only kit for 24î sets (18.375"" pan width), Stainless Steel.   Natural ...",519.00,259.50,267.29
FX24-SS-P,"Flaming Ember XTRA Burner only kit for 24î sets (18.375"" pan width), Stainless Steel.   Propane....",519.00,259.50,267.29
FX30-N,"Flaming Ember XTRA Burner only kit for 27"" and 30"" sets (25.5"" pan width).   Natural Gas.  Inclu...",279.00,139.50,143.69
FX30-P,"Flaming Ember XTRA Burner only kit for 27"" and 30"" sets (25.5"" pan width).  Propane.  Includes v...",279.00,139.50,143.69
FX30-SS-N,"Flaming Ember XTRA Burner only kit for 27"" and 30î sets (25.5"" pan width), Stainless Steel.   Na...",626.00,313.00,322.39
FX30-SS-P,"Flaming Ember XTRA Burner only kit for 27"" and 30î sets (25.5"" pan width), Stainless Steel.  Pro...",626.00,313.00,322.39
FX36-N,"Flaming Ember XTRA Burner only kit for 36"" sets (31.5"" pan width).   Natural Gas.  Includes sand...",348.00,174.00,179.22
FX36-P,"Flaming Ember XTRA Burner only kit for 33"" and 36"" sets (31.5"" pan width).  Propane.  Includes v...",348.00,174.00,179.22
FX36-SS-N,"Flaming Ember XTRA Burner only kit for 33"" and 36î sets (31.5"" pan width), Stainless Steel.   Na...",782.00,391.00,402.73
FX36-SS-P,"Flaming Ember XTRA Burner only kit for 33"" and 36î sets (31.5"" pan width), Stainless Steel.  Pro...",782.00,391.00,402.73
FX42-N,"Flaming Ember XTRA Burner only kit for 42"" sets (37.5"" pan width).   Natural Gas.  Includes sand...",412.00,206.00,212.18
FX42-P,"Flaming Ember XTRA Burner only kit for 42"" sets (37.5"" pan width).  Propane.  Includes volcanic ...",412.00,206.00,212.18
FX42-SS-N,"Flaming Ember XTRA Burner only kit for 42î sets (37.5"" pan width), Stainless Steel.   Natural Ga...",926.00,463.00,476.89
FX42-SS-P,"Flaming Ember XTRA Burner only kit for 42î sets (37.5"" pan width), Stainless Steel.  Propane.  I...",926.00,463.00,476.89
FX48-N,"Flaming Ember XTRA Burner only kit for 48,54 and 60"" sets (43.5"" pan width).   Natural Gas.  Inc...",450.00,225.00,231.75
FX48-P,"Flaming Ember XTRA Burner only kit for 48,54 and 60"" sets (43.5"" pan width).  Propane.  Includes...",450.00,225.00,231.75
FX48-SS-N,"Flaming Ember XTRA Burner only kit for 48"", 54"" and 60î sets (43.5"" pan width), Stainless Steel....",1012.00,506.00,521.18
FX48-SS-P,"Flaming Ember XTRA Burner only kit for 48"", 54"" and 60î sets (43.5"" pan width), Stainless Steel....",1012.00,506.00,521.18
FX60-N,**SPECIAL ORDER - PLEASE ALLOW 7 to 10 DAYS TO MANUFACTURE**  Flaming Ember XTRA Burner only kit...,562.00,281.00,289.43
FX60-SS-N,**SPECIAL ORDER - PLEASE ALLOW 7 to 10 DAYS TO MANUFACTURE**  Flaming Ember XTRA Burner only kit...,1164.00,582.00,599.46
FX60T-B-N,"Flaming Ember XTRA (FX) Burner, 60"" pan width; Pan Only. Black painted steel. Special Order - Pl...",691.00,345.50,355.87
FX65T-RH-B-N,"Flaming Ember XTRA (FX) Burner, 65"" pan width; Pan Only. Right Hand Gas Feed.  Black painted ste...",691.00,345.50,355.87
FX72-N,"Flaming Ember XTRA Burner only kit for 72"" sets (67.5"" pan width).   Natural Gas.  Includes sand...",803.00,401.50,413.55
FX72T-N,"**SPECIAL ORDER - Please allow up to two weeks to make. ..**Flaming Ember XTRA (FX) Burner, 72"" ...",856.00,428.00,440.84
FX80T-N,"Flaming Ember XTRA (FX) Burner, 80"" pan width; Pan Only. Special Order - Please allow 10 days to...",883.00,441.50,454.75
FX84T-N,"**SPECIAL ORDER - Please allow up to two weeks to make.**..Flaming Ember XTRA (FX) Burner, 84"" p...",963.00,481.50,495.95
BALL18-A-BE,"BEIGE COLOR - 18"" Mixed FireBall Set.  Consists of: 3-FB-2; 5-FB-2X; 2-FB-3; 3-FB-4; 2-FB-4H; 2-...",360.00,180.00,185.40
BALL18-A-BL,"BLACK COLOR - 18"" Mixed FireBall Set.  Consists of: 3-FB-2; 5-FB-2X; 2-FB-3; 3-FB-4; 2-FB-4H; 2-...",360.00,180.00,185.40
